DATE,KEYWORD,COUNT,TITLE,LINK
"Sun, 18 Oct 2020 17:00:00 +1100",Premier League Standings,"2,000+",Premier League Standings,https://www.eurosport.co.uk/football/premier-league-standings_sto7955159/story.shtml
"Sun, 18 Oct 2020 12:00:00 +1100",Felicity Jones,"2,000+","Today&#39;s famous birthdays list for October 17, 2020 includes ...",https://www.cleveland.com/entertainment/2020/10/todays-famous-birthdays-list-for-october-17-2020-includes-celebrities-eminem-felicity-jones.html
"Sun, 18 Oct 2020 18:00:00 +1100",Champions League,"2,000+",Sydney not the only team with Champions League concerns | The ...,https://theworldgame.sbs.com.au/sydney-not-the-only-team-with-champions-league-concerns
"Tue, 20 Oct 2020 11:00:00 +1100",H&M Australia,"50,000+",At Last: H&amp;M Launches its Online Store in Australia - Power Retail,https://powerretail.com.au/news/at-last-hm-launches-its-online-store-in-australia/
"Tue, 20 Oct 2020 14:00:00 +1100",Jeff Bridges,"20,000+",Actor Jeff Bridges Tweets That He Has Been Diagnosed With ...,https://www.npr.org/2020/10/20/925722304/actor-jeff-bridges-tweets-that-he-has-been-diagnosed-with-lymphoma
"Tue, 20 Oct 2020 10:00:00 +1100",AFL Grand Final tickets,"20,000+",AFL Grand Final tickets on re-sale for inflated prices in apparent ...,https://7news.com.au/sport/afl/afl-grand-final-tickets-being-resold-for-thousands-in-apparent-scalping-of-gabba-event-c-1420433
"Tue, 20 Oct 2020 18:00:00 +1100",Paul Murphy,"10,000+","Paul Murphy, venerated ABC and SBS journalist, dies aged 77",https://www.theguardian.com/media/2020/oct/20/paul-murphy-abc-sbs-journalist-dies-aged-77
"Tue, 20 Oct 2020 12:00:00 +1100",Jeffrey Toobin,"10,000+",Jeffrey Toobin Suspended By New Yorker For Exposing Himself ...,https://www.huffingtonpost.com.au/entry/jeffrey-toobin-suspended-by-new-yorker-for-exposing-himself-during-zoom-call_au_5f8e7f9ac5b6dc2d17f9e77d
"Tue, 20 Oct 2020 22:00:00 +1100",Cox Plate 2020,"10,000+",Win for connections of Cox Plate runners with up to 1250 people to ...,https://www.theage.com.au/national/victoria/win-for-connections-of-cox-plate-runners-with-up-to-1250-people-to-attend-moonee-valley-20201020-p566xx.html
"Tue, 20 Oct 2020 10:00:00 +1100",Leeds United,"10,000+",Leeds United 0 Wolves 1 - Player ratings,https://www.expressandstar.com/sport/football/wolverhampton-wanderers-fc/2020/10/20/leeds-united-0-wolves-1-player-ratings/
