S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
18,"Sun, 11 Oct 2020 20:00:00 +0100",Queer,"5,000+",Nico Tortorella Wants You to Know Your Queer History,https://www.advocate.com/exclusives/2020/10/02/nico-tortorella-wants-you-know-your-queer-history
19,"Sun, 11 Oct 2020 23:00:00 +0100",Poland vs Italy,"5,000+","Poland vs Italy Betting Tips: Latest odds, team news, preview and ...",https://www.goal.com/en-gb/news/poland-vs-italy-betting-tips-latest-odds-team-news-preview/1tyncvjts3o861cpssmgmn8z69
20,"Sun, 11 Oct 2020 21:00:00 +0100",England,"2,000+",England&#39;s simpler three-tier Covid system may not be enough,https://www.theguardian.com/world/2020/oct/12/englands-three-tier-covid-system-brings-much-needed-clarity
S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
1,"Wed, 14 Oct 2020 03:00:00 +0100",Nigeria Youth Investment Fund,"10,000+",FG releases link to apply for N75bn youth investment funds,https://www.legit.ng/1374745-fg-releases-link-apply-n75bn-youth-investment-funds.html
2,"Wed, 14 Oct 2020 13:00:00 +0100",Cardi B,"5,000+",Cardi B Responds After Accidentally Going Topless On Instagram,https://www.cinemablend.com/television/2556783/cardi-b-responds-after-accidentally-going-topless-on-instagram
3,"Wed, 14 Oct 2020 01:00:00 +0100",Argentina,"2,000+",Lionel Messi&#39;s angry comments during Argentina vs Bolivia fracas ...,https://www.givemesport.com/1607600-lionel-messis-angry-comments-during-argentina-vs-bolivia-fracas-have-been-lipread
4,"Wed, 14 Oct 2020 13:00:00 +0100",Nigeria SWAT,"2,000+",#EndSARS: IGP issues new mandates for SWAT,https://nairametrics.com/2020/10/14/endsars-igp-issues-new-mandates-for-swat/
5,"Wed, 14 Oct 2020 18:00:00 +0100",Ahmed Musa,"2,000+",🦅 Ahmed Musa fact file | Futaa.com Nigeria,https://futaa.com/ng/article/214815/ahmed-musa-fact-file
6,"Tue, 13 Oct 2020 20:00:00 +0100",Nigeria vs Tunisia,"100,000+","Nigeria vs Tunisia: TV channel, live stream, team news and preview ...",https://www.goal.com/en/news/nigeria-vs-tunisia-tv-channel-live-stream-team-news-and/icjpgfpypsdj1rrgswozv2ou4
7,"Tue, 13 Oct 2020 19:00:00 +0100",iPhone 12,"100,000+",The iPhone 12 mini seems like the small iPhone I&#39;ve been waiting for,https://www.theverge.com/2020/10/14/21515399/iphone-12-mini-phone-waiting-small-phone-smartphones
8,"Tue, 13 Oct 2020 12:00:00 +0100",SWAT,"50,000+","Inspector General of Police sets up new outfit, SWAT to replace SARS",https://nairametrics.com/2020/10/13/just-in-inspector-general-of-police-sets-up-new-outfit-swat-to-replace-sars/
9,"Tue, 13 Oct 2020 21:00:00 +0100",Ronaldo,"10,000+",&#39;Ronaldo wants to play!&#39; - Juventus star left frustrated after ...,https://www.goal.com/en/news/ronaldo-wants-to-play-juventus-star-left-frustrated-after/bi2or5mz50wg1r47941sedaxh
10,"Tue, 13 Oct 2020 15:00:00 +0100",Flutterwave,"10,000+",#EndSARS: Flutterwave Chairman says he ordered closure of firm&#39;s ...,https://nairametrics.com/2020/10/13/endsars-flutterwave-chairman-says-he-ordered-closure-of-firms-payment-platform/
11,"Tue, 13 Oct 2020 17:00:00 +0100",J.P. Clark,"10,000+","Buhari, Omo-Agege, Obaseki, Eghagha others mourn renowned ...",https://www.vanguardngr.com/2020/10/buhari-omo-agege-obaseki-eghagha-others-mourn-renowned-poet-jp-clark/
12,"Tue, 13 Oct 2020 20:00:00 +0100",Germany vs Switzerland,"10,000+","Germany vs Switzerland Betting Tips: latest odds, team news ...",https://www.goal.com/en/news/germany-vs-switzerland-betting-tips-latest-odds-team-news/c8p1b1iokupl1raq1u293vsvl
13,"Tue, 13 Oct 2020 22:00:00 +0100",Bolivia vs Argentina,"10,000+",Lionel Messi&#39;s angry comments during Argentina vs Bolivia fracas ...,https://www.givemesport.com/1607600-lionel-messis-angry-comments-during-argentina-vs-bolivia-fracas-have-been-lipread
14,"Tue, 13 Oct 2020 03:00:00 +0100",No Bra Day,"10,000+",Boris Johnson says &#39;circuit breaker&#39; national lockdown would be a ...,https://www.thesun.co.uk/news/12920175/october-13-no-bra-day-celebration-breast-cancer/
15,"Tue, 13 Oct 2020 15:00:00 +0100",Lauretta Onochie,"5,000+","Buhari nominates media aide, Lauretta Onochie, 3 others as INEC ...",https://nairametrics.com/2020/10/13/breaking-buhari-nominates-media-aide-lauretta-onochie-3-others-as-inec-commissioners/
16,"Tue, 13 Oct 2020 13:00:00 +0100",Kemi Olunloyo,"5,000+","I control you, Kemi Olunloyo says after Nigerians rejoiced over news ...",https://www.legit.ng/1374227-i-control-kemi-olunloyo-nigerians-rejoiced-news-twitter-suspension.html
17,"Tue, 13 Oct 2020 13:00:00 +0100",October 13,"5,000+","Coronavirus (COVID-19) Update: Daily Roundup October 13, 2020",https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-october-13-2020
18,"Tue, 13 Oct 2020 00:00:00 +0100",Columbus Day,"5,000+","Opinion: Columbus Day, a celebration of death and deception",https://thesuffolkjournal.com/30674/opinion/opinion-columbus-day-a-celebration-of-death-and-deception/
19,"Mon, 12 Oct 2020 08:00:00 +0100",Lakers,"10,000+",Los Angeles Lakers&#39; long awaited title thirst quenched,https://www.aa.com.tr/en/sports/los-angeles-lakers-long-awaited-title-thirst-quenched/2005025
20,"Mon, 12 Oct 2020 20:00:00 +0100",Trey Songz,"10,000+",#EndSARS: Trey Songz Blasts Buhari,https://guardian.ng/life/endsars-trey-songz-blasts-buhari/
S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
1,"Thu, 15 Oct 2020 15:00:00 +0100",Paystack,"10,000+",Paystack acquired by Stripe for a reported $200 million in the ...,https://nairametrics.com/2020/10/15/paystack-acquired-by-stripe-for-200-million-in-the-biggest-fintech-acquisition-in-nigerias-history/
2,"Thu, 15 Oct 2020 04:00:00 +0100",Jack Dorsey,"10,000+",Twitter&#39;s Jack Dorsey urges Bitcoin donations to fight police brutality ...,https://cointelegraph.com/news/twitter-s-jack-dorsey-urges-bitcoin-donations-to-fight-police-brutality-in-nigeria
3,"Thu, 15 Oct 2020 09:00:00 +0100",Jack,"2,000+",Shugaban Twitter na shan yabo da suka saboda goyon bayan ...,https://www.bbc.com/hausa/rahotanni-54551991
4,"Thu, 15 Oct 2020 15:00:00 +0100",NYSC news,"2,000+","NYSC Orientation camps set to reopen on November 10, 2020",https://nairametrics.com/2020/10/15/nysc-orientation-camps-set-to-re-opened-on-november-10-2020/
5,"Thu, 15 Oct 2020 17:00:00 +0100",Owner of Twitter,"2,000+",Facebook and Twitter CEOs will have to answer to Senate ...,https://www.cnbc.com/2020/10/15/facebook-twitter-ceos-set-to-answer-to-senate-after-reducing-ny-post-story-distribution.html
6,"Thu, 15 Oct 2020 17:00:00 +0100",MC Oluomo,"2,000+",MC Oluomo not behind attacks on #EndSARS protesters ...,https://punchng.com/mc-oluomo-not-behind-attacks-on-endsars-protesters-spokesman/
7,"Wed, 14 Oct 2020 03:00:00 +0100",Nigeria Youth Investment Fund,"20,000+",Three tins wey you need know about di Nigeria Youth Investment ...,https://www.bbc.com/pidgin/tori-54551318
8,"Wed, 14 Oct 2020 13:00:00 +0100",Cardi B,"20,000+",Cardi B speaks out after accidentally posting topless photo on ...,https://www.wionews.com/entertainment/cardi-b-speaks-out-after-accidentally-posting-topless-photo-on-instagram-335352
9,"Wed, 14 Oct 2020 19:00:00 +0100",England vs Denmark,"10,000+","England vs. Denmark - Football Match Report - October 14, 2020 ...",https://www.espn.com/soccer/report?gameId=570698
10,"Wed, 14 Oct 2020 20:00:00 +0100",Croatia vs France,"10,000+","Croatia vs. France - Football Match Report - October 14, 2020 - ESPN",https://www.espn.com/soccer/report?gameId=570699
11,"Wed, 14 Oct 2020 18:00:00 +0100",Ahmed Musa,"5,000+",NFF celebrates Ahmed Musa at 27 - Latest Sports News In Nigeria,https://www.brila.net/nff-celebrates-ahmed-musa-at-27/
12,"Wed, 14 Oct 2020 22:00:00 +0100",Iceland vs Belgium,"5,000+","Iceland vs. Belgium - Football Match Report - October 14, 2020 - ESPN",https://www.espn.com/soccer/report?gameId=570697
13,"Wed, 14 Oct 2020 01:00:00 +0100",Argentina,"5,000+","Neymar&#39;s Brazil, Messi&#39;s Argentina lead World Cup qualifying",https://www.dawn.com/news/1585066/neymars-brazil-messis-argentina-lead-world-cup-qualifying
14,"Tue, 13 Oct 2020 20:00:00 +0100",Nigeria vs Tunisia,"100,000+","Nigeria vs Tunisia: TV channel, live stream, team news and preview ...",https://www.goal.com/en/news/nigeria-vs-tunisia-tv-channel-live-stream-team-news-and/icjpgfpypsdj1rrgswozv2ou4
15,"Tue, 13 Oct 2020 19:00:00 +0100",iPhone 12,"100,000+","Apple iPhone 12, iPhone 12 Pro appear on AnTuTu, fail to impress",https://www.gsmarena.com/apple_iphone_12_iphone_12_pro_appear_on_antutu_fail_to_impress-news-45798.php
16,"Tue, 13 Oct 2020 12:00:00 +0100",SWAT,"50,000+",See five important facts about new SWAT police team - BBC News ...,https://www.bbc.com/pidgin/tori-54543803
17,"Tue, 13 Oct 2020 21:00:00 +0100",Ronaldo,"20,000+","Cristiano Ronaldo tests positive for coronavirus, leaves Portugal ...",https://www.espn.com/soccer/portugal-por/story/4207168/cristiano-ronaldo-tests-positive-for-coronavirusleaves-portugal-squad
18,"Tue, 13 Oct 2020 20:00:00 +0100",Germany vs Switzerland,"20,000+","Germany vs Switzerland Betting Tips: latest odds, team news ...",https://www.goal.com/en/news/germany-vs-switzerland-betting-tips-latest-odds-team-news/c8p1b1iokupl1raq1u293vsvl
19,"Tue, 13 Oct 2020 15:00:00 +0100",Flutterwave,"10,000+",Update-#EndSARS: Flutterwave Chairman says he ordered closure ...,https://nairametrics.com/2020/10/13/endsars-flutterwave-chairman-says-he-ordered-closure-of-firms-payment-platform/
20,"Tue, 13 Oct 2020 17:00:00 +0100",JP Clark,"10,000+","OBITUARY: JP Clark, literacy icon who resisted the urge to be ...",https://www.thecable.ng/obituary-jp-clark-literacy-icon-who-resisted-the-urge-to-be-distracted-from-his-calling
S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
1,"Fri, 16 Oct 2020 00:00:00 +0100",Reekado Banks,"5,000+",Wizkid blast Reekado Banks insult for &#39;Omo Olomo&#39; drop inside ...,https://www.bbc.com/pidgin/tori-54566869
2,"Fri, 16 Oct 2020 09:00:00 +0100",Chelsea vs Southampton,"5,000+","Chelsea vs Southampton preview, team news, kick-off",https://www.skysports.com/football/chelsea-vs-soton/preview/428877
3,"Fri, 16 Oct 2020 17:00:00 +0100",Fantasy Premier League,"2,000+","Fantasy Premier League tips | Gameweek 5 transfers, Kevin De ...",https://www.radiotimes.com/news/sport/2020-10-16/fantasy-premier-league-tips-transfers-injury-news/
4,"Thu, 15 Oct 2020 16:00:00 +0100",ASUU,"100,000+",Strike: FG to release N30bn earned allowances to ASUU,https://www.premiumtimesng.com/news/top-news/421183-strike-fg-to-release-n30bn-earned-allowances-to-asuu.html
5,"Thu, 15 Oct 2020 23:00:00 +0100",Events,"50,000+",Live Trump vs. Biden 2020 Election Updates and Analysis: Town ...,https://www.nytimes.com/live/2020/10/16/us/trump-biden-town-halls
6,"Thu, 15 Oct 2020 15:00:00 +0100",Paystack,"50,000+",Stripe acquires Nigeria&#39;s Paystack for $200M+ to expand into the ...,https://techcrunch.com/2020/10/15/stripe-acquires-nigerias-paystack-for-200m-to-expand-into-the-african-continent/
7,"Thu, 15 Oct 2020 04:00:00 +0100",Twitter,"20,000+","#EndSARS: Hacker group, Anonymous hacks National ...",https://nairametrics.com/2020/10/16/endsars-hacker-group-anonymous-hacks-national-broadcasting-commissions-twitter-account/
8,"Thu, 15 Oct 2020 20:00:00 +0100",Düren vs Bayern,"20,000+",Choupo-Moting named man of the match on Bayern Munich debut ...,https://www.goal.com/en/news/choupo-moting-named-man-of-the-match-on-bayern-munich-debut/1k6592azk6h9a1ag02qbck0brz
9,"Thu, 15 Oct 2020 15:00:00 +0100",NYSC,"10,000+","NYSC Orientation camps set to reopen on November 10, 2020",https://nairametrics.com/2020/10/15/nysc-orientation-camps-set-to-re-opened-on-november-10-2020/
10,"Thu, 15 Oct 2020 21:00:00 +0100",Premier League standings,"10,000+",Manchester City vs Arsenal: 5 key battles | Premier League 2020-21,https://www.sportskeeda.com/football/manchester-city-vs-arsenal-5-key-battles-premier-league-2020-21
11,"Thu, 15 Oct 2020 12:00:00 +0100",Anonymous,"5,000+","#EndSARS: Popular hacking group, Anonymous allegedly hacks ...",https://nairametrics.com/2020/10/15/endsars-popular-hacking-group-anonymous-allegedly-hacks-nigerian-govt-websites/
12,"Thu, 15 Oct 2020 18:00:00 +0100",James Nwafor,"5,000+","#EndSARS: Obiano sacks security aide, James Nwafor",https://www.premiumtimesng.com/regional/ssouth-east/421058-endsars-obiano-sacks-security-aide-james-nwafor.html
13,"Thu, 15 Oct 2020 17:00:00 +0100",MC Oluomo,"5,000+","VIDEO: #EndSARS: Lagos protesters reject food, drinks sent by ...",https://www.premiumtimesng.com/news/headlines/421198-video-endsars-lagos-protesters-reject-food-drinks-sent-by-nurtw-chief-mc-oluomo.html
14,"Thu, 15 Oct 2020 20:00:00 +0100",Infinix Note 8,"5,000+",Infinix Note 8 and Note 8i go official,https://www.gsmarena.com/infinix_note_8_and_note_8i_get_official-news-45819.php
15,"Thu, 15 Oct 2020 10:00:00 +0100",Adamu Garba,"5,000+",Nigeria: #EndSARS - Adamu Garba Threatens to Sue Twitter CEO If...,https://allafrica.com/stories/202010150884.html
16,"Thu, 15 Oct 2020 22:00:00 +0100",Malcolm X,"5,000+","Review: &#39;The Dead Are Arising,&#39; by Les Payne and Tamara Payne",https://www.theatlantic.com/magazine/archive/2020/11/the-making-of-malcolm-x/616481/
17,"Wed, 14 Oct 2020 13:00:00 +0100",Cardi B,"20,000+",Cardi B says she has decided not to divorce Offset,https://www.nme.com/news/music/cardi-b-says-she-has-decided-not-to-divorce-offset-2786261
18,"Wed, 14 Oct 2020 03:00:00 +0100",Nigeria Youth Investment Fund,"20,000+",ALERT: You can now register for FG&#39;s N75bn youth investment fund ...,https://www.thecable.ng/alert-you-can-now-register-for-fgs-n75bn-youth-investment-fund
19,"Wed, 14 Oct 2020 19:00:00 +0100",England vs Denmark,"20,000+",Neville identifies &#39;predictable&#39; England&#39;s biggest flaw after UEFA ...,https://www.goal.com/en/news/neville-southgate-predictable-tactics-selection-policy/1bo8ychcw67kozxlffatbndy7
20,"Wed, 14 Oct 2020 20:00:00 +0100",Croatia vs France,"10,000+","Croatia vs France Betting Tips: Latest odds, team news, preview and ...",https://www.goal.com/en/news/croatia-vs-france-betting-tips-latest-odds-team-news-preview-and-/1b1zd1ul8s9rw14a5w6yl0p59f
S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
1,"Sat, 17 Oct 2020 01:00:00 +0100",INEC,"10,000+","INEC nomination: IPAC disowns AAC chair, Nzenwa",https://www.vanguardngr.com/2020/10/inec-nomination-ipac-disowns-aac-chair-nzenwa/
2,"Sat, 17 Oct 2020 15:00:00 +0100",Napoli vs; Atalanta,"10,000+",Napoli vs Atalanta live stream: How to watch Serie A online,https://www.squawka.com/en/napoli-v-atalanta-live-stream-watch-online-serie-a-predictions
3,"Sat, 17 Oct 2020 13:00:00 +0100",Dolapo Badmus,"10,000+","Abayomi Shogunle, Dolapo Badmus others dismissed as police ...",https://www.pulse.ng/news/local/abayomi-shogunle-dolapo-badmus-others-dismissed-as-police-release-names-of-dismissed/v2c2yck
4,"Sat, 17 Oct 2020 17:00:00 +0100",Real Madrid vs cádiz,"5,000+",Real Madrid vs Cadiz live stream: How to watch La Liga online,https://www.squawka.com/en/real-madrid-v-cadiz-live-stream-watch-online-la-liga-predictions/
5,"Sat, 17 Oct 2020 14:00:00 +0100",La Liga,"5,000+",La Liga chief says Lionel Messi is “essential” to Spanish football ...,https://www.fourfourtwo.com/news/la-liga-chief-says-lionel-messi-is-essential-to-spanish-football-unlike-cristiano-ronaldo-and-neymar
6,"Sat, 17 Oct 2020 16:00:00 +0100",Celta Vigo vs Atlético Madrid,"2,000+",Celta Vigo vs. Atletico Madrid - Football Match Report - October 17 ...,https://africa.espn.com/football/report?gameId=582143
7,"Sat, 17 Oct 2020 12:00:00 +0100",Lilian Afegbai,"2,000+",Actress Lilian Afegbai Responds Following Murder Allegations ...,https://guardian.ng/life/actress-lilian-afegbai-responds-following-murder-allegations-trailing-her-mother/
8,"Sat, 17 Oct 2020 17:00:00 +0100",Laliga,"2,000+",La Liga LIVE: Athletic Club vs Levante Head to Head Statistics ...,https://www.insidesport.co/la-liga-live-athletic-club-vs-levante-head-to-head-statistics-laliga-live-streaming-link-teams-stats-up-results/
9,"Sat, 17 Oct 2020 13:00:00 +0100",Liverpool FC,"2,000+",Mohamed Salah joins Liverpool&#39;s 100-goal club,https://www.liverpoolfc.com/news/first-team/411992-mohamed-salah-joins-liverpool-s-100-goal-club
10,"Sat, 17 Oct 2020 15:00:00 +0100",Hoffenheim vs Dortmund,"2,000+","Hoffenheim vs. Borussia Dortmund Odds, Betting Picks, Predictions ...",https://www.actionnetwork.com/soccer/bundesliga-odds-picks-and-predictions-hoffenheim-vs-borussia-dortmund-saturday-oct-17
11,"Sat, 17 Oct 2020 14:00:00 +0100",Granada vs Sevilla,"2,000+",La Liga Matchday 6 Preview: All four Champions League sides feature in action-packed Saturday,https://www.goal.com/en/news/la-liga-matchday-6-preview-all-four-champions-league-sides/5lptb1bg3bip1tb9rpsdsiy8t
12,"Sat, 17 Oct 2020 15:00:00 +0100",Celtic vs Rangers,"2,000+",Celtic 0-2 Rangers reaction,https://www.skysports.com/football/celtic-vs-rangers/live/425625
13,"Sat, 17 Oct 2020 17:00:00 +0100",Live Score Today,"2,000+","RCB vs RR Highlights, IPL 2020: De Villiers special helps RCB beat ...",https://sportstar.thehindu.com/cricket/ipl/ipl-news/rcb-vs-rr-royal-challengers-bangalore-vs-rajasthan-royals-ipl-2020-live-score-streaming/article32879431.ece
14,"Sat, 17 Oct 2020 15:00:00 +0100",Sevilla,"2,000+",Suárez helps Atlético end scoring drought; Sevilla loses,https://www.washingtonpost.com/sports/soccer/suarez-helps-atletico-end-scoring-drought-sevilla-loses/2020/10/17/291ba806-1097-11eb-b404-8d1e675ec701_story.html
15,"Sat, 17 Oct 2020 17:00:00 +0100",Inter Milan vs Milan,"2,000+",Derby di Milano: What to expect from Inter vs AC Milan | Goal.com,https://www.goal.com/en/news/derby-di-milano-what-to-expect-from-inter-vs-ac-milan/h2fapva0gg2o1roh4tc77jzvy
16,"Fri, 16 Oct 2020 21:00:00 +0100",Everton vs Liverpool,"100,000+",Everton 2-2 Liverpool highlights and commentary,https://www.skysports.com/football/everton-vs-liverpool/live/428879
