S_NO,DATE,KEYWORD,COUNT,TITLE,LINK
1,"Mon, 12 Oct 2020 09:00:00 +0100",Tom Parker,"200,000+",The Wanted singer Tom Parker diagnosed with inoperable brain ...,https://www.theguardian.com/music/2020/oct/12/the-wanted-singer-tom-parker-diagnosed-with-inoperable-brain-tumour
2,"Mon, 12 Oct 2020 09:00:00 +0100",Lakers,"100,000+",LA Lakers send fans wild with NBA Championship win against ...,https://talksport.com/sport/772038/la-lakers-nba-title-result-miami-heat-lebron-james-anthony-davis-kobe-bryant-fans/
3,"Mon, 12 Oct 2020 18:00:00 +0100",Gov.uk,"100,000+",PM Commons statement on coronavirus: 12 October 2020,https://www.gov.uk/government/speeches/pm-commons-statement-on-coronavirus-12-october-2020
4,"Mon, 12 Oct 2020 14:00:00 +0100",Dominic West,"50,000+",Married Dominic West spotted kissing Lily James on idyllic trip,https://metro.co.uk/2020/10/12/married-dominic-west-50-spotted-kissing-lily-james-31-on-idyllic-rome-getaway-13409101/
5,"Mon, 12 Oct 2020 13:00:00 +0100",Amazon Prime Day,"50,000+",Amazon Prime Day 2020: Echo Dot price slashed to £18.99,https://www.theargus.co.uk/news/18786780.amazon-prime-day-2020-everything-need-know-best-early-deals/
6,"Mon, 12 Oct 2020 09:00:00 +0100",Rob Burrow,"50,000+",Rob Burrow documentary &#39;My year with MND&#39; to now be shown on ...,https://www.sthelensstar.co.uk/sport/18788419.rob-burrow-documentary-my-year-mnd-shown-bbc2/
7,"Mon, 12 Oct 2020 10:00:00 +0100",Gap,"50,000+",Pay gap between ethnic minority and white staff smallest since 2012 ...,https://www.theguardian.com/money/2020/oct/12/pay-gap-ethnic-minority-white-workers-ons
8,"Mon, 12 Oct 2020 07:00:00 +0100",Dak Prescott,"20,000+",Dak Prescott has surgery after Dallas Cowboys quarterback suffers ...,https://www.skysports.com/nfl/news/12118/12102259/dak-prescott-to-have-surgery-after-dallas-cowboys-quarterback-suffers-horrific-ankle-injury
9,"Mon, 12 Oct 2020 16:00:00 +0100",Nottingham,"20,000+",Nottingham to be placed under new Tier 2 restrictions,https://www.nottinghampost.com/news/nottingham-news/live-nottingham-lockdown-updates-government-4596970
10,"Mon, 12 Oct 2020 14:00:00 +0100",Margaret Nolan,"20,000+","Margaret Nolan - actor, artist and Goldfinger title sequence star ...",https://www.theguardian.com/film/2020/oct/12/margaret-nolan-goldfinger-title-sequence-star-dies-aged-76-james-bond
11,"Mon, 12 Oct 2020 08:00:00 +0100",Michelle Hardwick,"20,000+",Emmerdale star Michelle Hardwick and Kate Brooks welcome first ...,https://www.hellomagazine.com/healthandbeauty/mother-and-baby/2020101298869/emmerdale-michelle-hardwick-kate-brook-welcome-baby-son/
12,"Mon, 12 Oct 2020 14:00:00 +0100",Salford City,"20,000+",Manchester United great Paul Scholes appointed interim manager ...,https://www.manchestereveningnews.co.uk/sport/football/football-news/paul-scholes-graham-alexander-salford-19089951
13,"Mon, 12 Oct 2020 17:00:00 +0100",Latest covid news,"20,000+",Coronavirus latest: Florida reports smallest daily rise in new cases in ...,https://www.ft.com/content/8516bffe-326d-32d7-a433-3f94c330b136
14,"Mon, 12 Oct 2020 17:00:00 +0100",Kate Middleton,"10,000+",Glamorous Kate Middleton surprises fans with new video as she ...,https://www.mirror.co.uk/news/uk-news/glamorous-kate-middleton-surprises-fans-22832752
15,"Mon, 12 Oct 2020 11:00:00 +0100",Cardi B,"10,000+","Cardi B and Offset Reunited During Her Huge, Mask-Free Las ...",https://www.vanityfair.com/style/2020/10/cardi-b-offset-reunited-birthday-party-kiss-divorce
16,"Mon, 12 Oct 2020 17:00:00 +0100",Nottinghampost,"10,000+",Tributes to Nottingham pilot killed in tragic plane crash,https://www.nottinghampost.com/news/nottingham-news/tributes-nottingham-pilot-killed-tragic-4598966
17,"Mon, 12 Oct 2020 17:00:00 +0100",John Leslie,"10,000+","John Leslie groped woman at party, sexual assault trial hears",https://www.theguardian.com/uk-news/2020/oct/12/john-leslie-groped-woman-at-party-sexual-assault-trial-hears
18,"Mon, 12 Oct 2020 18:00:00 +0100",BBC live,"10,000+",Irish League fans can enjoy landmark BBC live streaming option,https://www.portadowntimes.co.uk/sport/football/northern-ireland/irish-league-fans-can-enjoy-landmark-bbc-live-streaming-option-3000587
